,24h_volume_usd,available_supply,id,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
0,15871500000.0,16788812.0,bitcoin,1515383061.0,268725082634.0,21000000.0,Bitcoin,-1.05,-6.65,15.0,1.0,16006.2,1,BTC,16788812.0
1,2212230000.0,38739144847.0,ripple,1515383041.0,123668909052.0,100000000000.0,Ripple,-2.1,0.94,40.49,0.00020268,3.19235,2,XRP,99993093880.0
2,6416510000.0,96841073.0,ethereum,1515383049.0,121123972054.0,,Ethereum,3.22,16.25,64.93,0.0794107,1250.75,3,ETH,96841073.0
3,1438590000.0,16899475.0,bitcoin-cash,1515383055.0,46706262021.0,21000000.0,Bitcoin Cash,0.34,-0.12,10.08,0.175472,2763.77,4,BCH,16899475.0
4,217362000.0,25927070538.0,cardano,1515383057.0,24551069050.0,45000000000.0,Cardano,-2.11,-7.23,33.18,6.012e-05,0.946928,5,ADA,31112483745.0
5,122968000.0,8999999999.0,nem,1515383044.0,15581249998.0,,NEM,-0.98,5.76,64.66,0.00010992,1.73125,6,XEM,8999999999.0
6,1027840000.0,54661683.0,litecoin,1515383041.0,15266844120.0,84000000.0,Litecoin,-1.93,-6.21,21.33,0.0177326,279.297,7,LTC,54661683.0
7,310494000.0,17877865458.0,stellar,1515383043.0,11888226316.0,,Stellar,-2.23,-8.31,61.73,4.222e-05,0.664969,8,XLM,103570548975.0
8,1723920000.0,65748192475.0,tron,1515383056.0,11433281931.0,,TRON,-3.33,1.07,279.95,1.104e-05,0.173895,9,TRX,100000000000.0
9,257783000.0,2779530283.0,iota,1515383053.0,11383093754.0,2779530283.0,IOTA,-0.41,1.38,14.54,0.00026001,4.09533,10,MIOTA,2779530283.0
10,220629000.0,7804915.0,dash,1515383041.0,10018934942.0,18900000.0,Dash,-0.7,-2.52,22.64,0.0815004,1283.67,11,DASH,7804915.0
11,205902000.0,15576171.0,monero,1515383043.0,7110693497.0,,Monero,0.8,-3.85,31.34,0.028984,456.511,12,XMR,15576171.0
12,544945000.0,589016533.0,eos,1515383052.0,7025789208.0,1000000000.0,EOS,-1.1,-8.39,35.83,0.00075731,11.928,13,EOS,900000000.0
13,190788000.0,65000000.0,neo,1515383050.0,6456177000.0,,NEO,-1.28,-6.25,31.5,0.00630623,99.3258,14,NEO,100000000.0
14,1089860000.0,73791528.0,qtum,1515383053.0,6062830007.0,,Qtum,-0.06,-16.78,33.94,0.00521646,82.1616,15,QTUM,100291528.0
15,185621000.0,16751461.0,bitcoin-gold,1515383057.0,4981499244.0,21000000.0,Bitcoin Gold,-0.23,-2.26,10.86,0.0188806,297.377,16,BTG,16851461.0
16,511715000.0,98956981.0,ethereum-classic,1515383049.0,4351920215.0,,Ethereum Classic,2.76,9.45,38.7,0.00279217,43.9779,17,ETC,98956981.0
17,306974000.0,378545005.0,icon,1515383058.0,3927896535.0,,ICON,2.77,28.76,94.1,0.00065879,10.3763,18,ICX,400230000.0
18,188577000.0,116770872.0,lisk,1515383047.0,3625642159.0,,Lisk,-4.58,-9.28,52.57,0.00197132,31.0492,19,LSK,116770872.0
19,48787400.0,133248289.0,raiblocks,1515383051.0,3338256065.0,133248290.0,RaiBlocks,-4.26,-11.46,11.31,0.00159062,25.0529,20,XRB,133248289.0
20,376471000.0,102042552.0,omisego,1515383053.0,2728617834.0,,OmiseGO,-1.64,31.53,37.05,0.00169773,26.74,21,OMG,140245398.0
21,166072000.0,31396146174.0,siacoin,1515383046.0,2695660552.0,,Siacoin,-2.75,-7.1,186.64,5.45e-06,0.0858596,22,SC,31396146174.0
22,541213000.0,3009069.0,zcash,1515383049.0,2664575514.0,,Zcash,-0.05,10.93,74.37,0.0562216,885.515,23,ZEC,3009069.0
23,29720500.0,183253534612.0,bytecoin-bcn,1515383043.0,2626444634.0,184470000000.0,Bytecoin,-2.27,-11.92,145.44,9.1e-07,0.0143323,24,BCN,183253534612.0
24,199662000.0,14512640246.0,verge,1515383044.0,2492067045.0,16555000000.0,Verge,-2.36,-8.25,-16.57,1.09e-05,0.171717,25,XVG,14512640246.0
25,21824700.0,6175615.0,bitconnect,1515383051.0,2233954563.0,28000000.0,BitConnect,-0.78,-16.36,-14.55,0.0229668,361.738,26,BCC,9453958.0
26,48597100.0,325190215376.0,dentacoin,1515383055.0,2227432655.0,8000000000000.0,Dentacoin,5.64,182.56,1095.33,4.3e-07,0.00684963,27,DCN,1841395638392.0
27,40867300.0,2606820000.0,bitshares,1515383043.0,2036307016.0,3600570502.0,BitShares,-2.82,-4.73,13.65,4.96e-05,0.781146,28,BTS,2606820000.0
